.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3216901_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216902_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216903_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216904_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216905_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216906_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216907_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216908_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216909_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216910_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216911_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216912_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216913_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216914_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216915_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216916_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216917_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216918_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216919_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216920_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216921_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216922_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216923_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216924_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216925_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216926_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216927_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216928_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216929_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216930_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216931_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216932_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216933_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
