Feature ID	Taxon	Consensus
02df94089d7cb41526353beab6648e8c	d__Bacteria; p__Bacillota	0.55
02dff63b7d09326a3cf09a923ccb62b4	d__Bacteria; p__Bacillota	0.55
02e0ce559228307ed79ccde3fe7b80ab	d__Bacteria; p__Bacillota; c__Clostridia	0.917
02e316db0de4f45e136977f281c207cf	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.65
02e3c541b67c1f742460bbf565f63071	d__Bacteria; p__Bacillota	0.643
02edb3b1adaafea1b5705786c64acb2d	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
02f284fafcf37fb40723ea9884ceca1a	d__Bacteria	1.0
02f5e7a0f7c2ba92f70d3f491b634357	d__Bacteria; p__Bacillota; c__Clostridia	0.6
02f7af37ce6fa119050e017eb898222c	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	0.667
02fd5f54a484533ee86fe6776bceeb42	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
0307d969bd88d249990b08a196244860	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.95
03089c9417e9a3569d797aa71a186bcf	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomataceae; g__Dyadobacter	0.769
03166b5768d4539af62a178020cd281d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales	0.85
0319c76333a42125f932a89a93e82a6f	d__Bacteria	1.0
0319e6082bae449d78bdec5ccb76ae75	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
031a7869a93fe4f982532940177b437a	d__Bacteria; p__Bacillota; c__Clostridia	0.667
031f2f406520fb87568d7dad76c02d10	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.95
0320068031d2f6bc241295e12d94f888	d__Bacteria	1.0
03208b0e765634420311b7b0ed152d25	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales	0.818
032219ca1775922c85fd0d93ccc374ef	d__Bacteria	1.0
032591e40bdba88bc151161d2155dc40	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.7
032ae75241379b95c636588bf6dc53fd	d__Bacteria; p__Bacillota	0.579
033286f247da3fe5e8f285ec88571101	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.6
0335c31b0738beca456976b9fbd707d0	Unassigned	1.0
